7154	4847	2403	5201	9265	676	8591	1839	7174	
5768	5410	1308	9265	2604	1437	5552	3171	5225	
9284	3824	4911	6305	377	9342	6067	7881	1532	
7923	418	9269	6962	8854	4909	3478	3517	8675	
1832	3741	2773	7080	1600	8287	9965	4619	9135	
8392	5693	1814	4187	6322	5349	4019	4633	5330	
1367	6840	2835	3496	7730	5955	1163	1330	2420	
6844	8976	7199	481	3863	7855	8467	9315	1365	
7330	659	4481	9493	2398	1069	2418	2875	3585	
3398	689	1394	7198	4305	3252	2921	6916	9741	
3328	8996	3307	8749	9882	5523	4029	8191	8215	
9369

